time, speed, delta_speed_average, delta_speed_prev
16, -20, -0.4, -0.4
27, -21, -0.6, -0.4
35, -21, -0.6, -0.6
46, -21, -0.6, -0.6
56, -21, -0.2, -0.6
64, -21, -0.2, -0.2
84, -21, 0.0, -0.2
114, -22, -0.2, -0.2
123, -20, 0.2, -0.2
136, -6, 3.0, 0.2
152, -10, 2.2, 3.0
163, -17, 1.0, 2.2
174, -12, 2.0, 1.0
186, 12, 6.4, 2.0
197, 1, 1.4, 6.4
207, 6, 3.2, 1.4
217, 3, 4.0, 3.2
233, -7, 1.0, 4.0
248, -1, -2.6, 1.0
258, 0, -0.2, -2.6
267, -4, -1.2, -0.2
279, -1, 0.0, -1.2
288, -1, 0.8, 2.4
298, -25, -4.2, 0.8
310, -21, -3.4, -4.2
318, -20, -3.8, -3.4
330, 4, 0.6, -3.8
348, -13, -2.4, 0.6
357, -29, -0.8, -2.4
368, -15, 1.2, -0.8
378, 1, 4.2, 1.2
388, -21, -5.0, 4.2
400, -46, -6.6, -5.0
409, -19, 2.0, -6.6
420, 10, 5.0, 2.0
430, -33, -6.8, 5.0
438, -39, -3.6, -6.8
454, 5, 10.2, -3.6
466, 6, 5.0, 10.2
479, -17, -5.4, 5.0
504, 8, 8.199999999999999, -5.4
517, -3, 7.2, 8.199999999999999
528, -8, -2.6, 7.2
541, 13, 1.4, -2.6
557, 13, 6.0, 1.4
569, 4, -0.8, 6.0
579, 23, 5.2, -0.8
588, 37, 9.0, 5.2
605, 28, 3.0, 9.0
634, 31, 3.6, 3.0
657, 47, 8.6, 3.6
667, 37, 2.8, 8.6
676, 32, -1.0, 2.8
689, 72, 8.800000000000001, -1.0
708, 32, 0.2, 8.800000000000001
724, 2, -9.0, 0.2
730, 40, 0.6, -9.0
746, 66, 6.8, 0.6
767, 33, -7.8, 6.8
779, 12, -4.0, -7.8
796, 10, 1.6, -4.0
807, 35, -1.0, 1.6
821, 17, -9.800000000000001, -1.0
831, 13, -4.0, -9.800000000000001
841, 4, -1.6, -4.0
851, 5, -1.0, -1.6
865, 2, -6.6, -1.0
894, 7, -2.0, -6.6
904, -27, -8.0, -2.0
916, -20, -4.8, -8.0
932, -13, -3.6, -4.8
944, -29, -6.2, -3.6
956, -16, -4.6, -6.2
967, -8, 3.8, -4.6
978, -8, 2.4, 3.8
987, 0, 2.6, 2.4
997, -26, 8.6, 2.6
1008, -10, 9.199999999999999, 8.6
1018, 12, 12.0, 9.199999999999999
1028, -7, 8.199999999999999, 12.0
1038, -5, 7.0, 8.199999999999999
1047, -7, 3.8, 7.0
1064, 7, 3.4, 3.8
1077, 12, 0.0, 3.4
1096, 10, 3.0, 3.4
1109, 12, 3.8, 3.0
1118, 13, 1.2, 3.8
1128, 19, 1.4, 1.2
1144, 45, 7.0, 1.4
1154, 3, -1.4, 7.0
1166, -10, -4.4, -1.4
1176, 15, 0.4, -4.4
1196, 12, -1.4, 0.4
1205, -6, -10.2, -1.4
1215, 3, 0.0, -10.2
1227, 5, -2.0, 3.0
1238, 2, -2.0, -2.0
1247, -7, -0.2, -2.0
1256, 1, -0.4, -0.2
1265, -19, -4.8, -0.4
1280, -25, -6.0, -4.8
1291, -15, -3.4, -6.0
1301, -16, -1.8, -3.4
1309, -26, -5.4, -1.8
1318, -30, -2.2, -5.4
1326, -19, 1.2, -2.2
1336, -22, -1.4, 1.2
1347, -20, -0.8, -1.4
1356, -26, 0.0, -0.8
1366, -23, -0.8, 1.2
1375, -27, -1.0, -0.8
1384, -26, -1.2, -1.0
1395, -11, 3.0, -1.2
1405, -13, 2.2, 3.0
1414, -21, 0.4, 2.2
1423, -20, 1.4, 0.4
1430, -23, 0.6, 1.4
1442, -20, -1.8, 0.6
1450, -21, -1.6, -1.8
1459, -13, 1.6, -1.6
1469, -7, 2.6, 1.6
1477, -2, 4.2, 2.6
1487, -16, 0.8, 4.2
1496, -21, 0.0, 0.8
1507, -16, -1.8, 0.6
1516, -12, -2.0, -1.8
1525, -13, 0.6, -2.0
1530, -4, 3.4, 0.6
1539, -5, 1.0, 3.4
1549, -5, 2.2, 1.0
1558, -23, -2.2, 2.2
1567, -29, -3.2, -2.2
1578, -5, -0.2, -3.2
1588, 7, 2.4, -0.2
1599, -22, -3.4, 2.4
1608, -31, -1.6, -3.4
1616, -25, 0.8, -1.6
1625, -19, -2.8, 0.8
1635, -29, -7.2, -2.8
1645, -19, 0.6, -7.2
1653, -20, 2.2, 0.6
1691, -4, 4.2, 2.2
1711, -33, -2.8, 4.2
1719, -20, 1.8, -2.8
1727, -2, 3.4, 1.8
1751, -21, -0.2, 3.4
1760, -32, -5.6, -0.2
1771, 8, 8.199999999999999, -5.6
1781, 32, 10.4, 8.199999999999999
1791, -5, -0.6, 10.4
1800, -7, 2.8, -0.6
1809, -22, 2.0, 2.8
1819, 56, 9.6, 2.0
1830, 7, -5.0, 9.6
1840, 23, 5.6, -5.0
1850, 19, 5.2, 5.6
1858, 7, 5.8, 5.2
1866, -10, -13.2, 5.8
1876, -10, -3.4, -13.2
1886, 21, -0.4, -3.4
1895, 19, 0.0, -0.4
1907, 8, 3.6, 1.4
1917, 3, 2.6, 3.6
1926, 8, -2.6, 2.6
1931, -9, -5.6, -2.6
1940, 11, -0.6, -5.6
1949, 20, 2.4, -0.6
1959, 48, 9.0, 2.4
1968, 18, 2.0, 9.0
1981, 7, 3.2, 2.0
1990, 24, 2.6, 3.2
2000, 18, -0.4, 2.6
2016, 24, -4.8, -0.4
2026, 33, 3.0, -4.8
2036, 18, 2.2, 3.0
2046, -8, -6.4, 2.2
2054, -2, -4.0, -6.4
2066, 26, 0.4, -4.0
2083, 44, 2.2, 0.4
2092, 10, -1.6, 2.2
2101, -2, 1.2, -1.6
2113, 44, 9.199999999999999, 1.2
2121, 27, 0.2, 9.199999999999999
2130, 14, -6.0, 0.2
2138, 8, -0.4, -6.0
2148, 26, 5.6, -0.4
2157, 52, 1.6, 5.6
2168, -1, -5.6, 1.6
2176, -31, -9.0, -5.6
2189, 18, 2.0, -9.0
2198, 62, 7.2, 2.0
2207, 27, -5.0, 7.2
2217, -31, -6.0, -5.0
2226, -10, 4.2, -6.0
2236, 30, 2.4, 4.2
2247, 61, -0.2, 2.4
2256, 10, -3.4, -0.2
2266, -12, 3.8, -3.4
2275, 32, 8.4, 3.8
2285, 42, 2.4, 8.4
2294, 4, -11.4, 2.4
2303, -24, -6.8, -11.4
2315, 43, 11.0, -6.8
2326, 39, 1.4, 11.0
2335, -2, -8.800000000000001, 1.4
2339, -40, -8.800000000000001, -8.800000000000001
2349, 4, 5.6, -8.800000000000001
2358, 12, -6.2, 5.6
2368, 60, 4.2, -6.2
2376, 2, 0.8, 4.2
2386, 5, 9.0, 0.8
2394, -15, -3.8, 9.0
2406, 9, -0.6, -3.8
2418, 35, -5.0, -0.6
2428, 7, 1.0, -5.0
2436, -30, -7.0, 1.0
2448, 7, 4.4, -7.0
2456, 11, 0.4, 4.4
2467, 26, -1.8, 0.4
2476, -23, -6.0, -1.8
2490, -31, -0.2, -6.0
2500, 33, 5.2, -0.2
2508, -3, -2.8, 5.2
2518, -36, -12.4, -2.8
2526, -8, 3.0, -12.4
2543, -6, 5.0, 3.0
2553, -18, -10.2, 5.0
2576, -15, -2.4, -10.2
2586, -28, 1.6, -2.4
2597, -23, -3.0, 1.6
2607, -24, -3.6, -3.0
2620, -12, 1.2, -3.6
2635, -26, -2.2, 1.2
2644, -21, 1.4, -2.2
2657, -26, -0.6, 1.4
2670, -25, -0.2, -0.6
2679, -25, -2.6, -0.2
2689, -15, 2.2, -2.6
2716, -36, -3.0, 2.2
2729, -11, 3.0, -3.0
2739, -16, 1.8, 3.0
2748, -18, 1.4, 1.8
2764, -19, -0.8, 1.4
2776, -19, 3.4, -0.8
2786, -2, 1.8, 3.4
2797, -17, -0.2, 1.8
2807, -17, 0.2, -0.2
2817, -11, 1.6, 0.2
2829, -8, 2.2, 1.6
2837, -11, -1.8, 2.2
2847, -5, 2.4, -1.8
2858, 8, 5.0, 2.4
2867, 2, 2.6, 5.0
2895, -28, -4.0, 2.6
2905, 19, 6.0, -4.0
2914, 3, 1.6, 6.0
2934, -29, -7.4, 1.6
2949, -33, -7.0, -7.4
2961, -10, 3.6, -7.0
2971, -19, -7.6, 3.6
2988, -11, -2.8, -7.6
2996, -32, -0.6, -2.8
3006, -14, 3.8, -0.6
3015, -37, -5.4, 3.8
3025, -12, 1.4, -5.4
3035, -28, -3.4, 1.4
3043, -38, -1.2, -3.4
3048, -16, -0.4, -1.2
3057, -10, 5.4, -0.4
3066, 9, 4.2, 5.4
3073, -8, 4.0, 4.2
3084, -62, -4.8, 4.0
3096, -35, -3.8, -4.8
3105, -5, 1.0, -3.8
3114, -1, -2.0, 1.0
3124, -11, -0.6, -2.0
3135, -25, 7.4, -0.6
3143, -33, 0.4, 7.4
3151, -16, -2.2, 0.4
3160, -11, -2.0, -2.2
3170, -15, -0.8, -2.0
3178, -14, 2.2, -0.8
3189, -15, 3.6, 2.2
3198, -23, -1.4, 3.6
3207, -17, -1.2, -1.4
3216, -16, -0.2, -1.2
3226, -8, 1.2, -0.2
3236, -2, 2.6, 1.2
3245, 4, 5.4, 2.6
3255, 2, 3.8, 5.4
3263, -2, 2.8, 3.8
3271, -6, 0.4, 2.8
3280, 0, 0.4, 0.4
3293, 15, -0.8, 0.4
3301, 20, 0.6, -0.8
3310, 24, 2.2, 0.6
3329, 23, 2.8, 2.2
3350, 31, 3.2, 2.8
3359, 33, 3.6, 3.2
3369, 29, 1.8, 3.6
3378, 31, 1.4, 1.8
3395, 36, 2.6, 1.4
3406, 47, 3.2, 2.6
3418, 51, 3.6, 3.2
3428, 12, -3.4, 3.6
3439, 28, -0.6, -3.4
3448, 28, -1.6, -0.6
3458, 56, 1.8, -1.6
3468, 35, -3.2, 1.8
3478, 23, 2.2, -3.2
3487, 16, -2.4, 2.2
3498, 18, -2.0, -2.4
3508, 41, -3.0, -2.0
3518, 17, -3.6, -3.0
3528, 4, -3.8, -3.6
3536, 9, -1.4, -3.8
3547, 21, 0.6, -1.4
